# Emin[GeV]	Emax[GeV]	Emean[GeV]	Cp	Cp_ERR

0.524810	1.000000	0.724438	3.659660e-18	1.471059e-18
1.000000	1.737800	1.318256	6.588744e-19	1.598055e-19
1.737800	2.754300	2.187789	9.383154e-20	1.823422e-20
2.754230	4.786300	3.630781	3.391285e-20	6.295065e-21
4.786300	8.317640	6.309574	1.391962e-20	1.841012e-21
8.317640	14.454400	10.964784	4.259242e-21	6.130453e-22
14.454400	22.908680	18.197011	8.974603e-22	2.075900e-22
22.908680	39.810710	30.199517	2.091871e-22	1.046335e-22
39.810710	69.183090	52.480739	5.931303e-23	4.005857e-23
69.183090	120.226440	91.201078	3.082510e-23	1.537831e-23
120.226440	331.131120	199.526228	1.168894e-23	7.341257e-24
331.131120	1000.000000	575.439936	-4.384128e-25	1.109252e-24
