E_eV,F_erg/cm^2/s
0,1215288135.5932202,7.996561048827378e-21
1,1343101104.5400012,9.767014368102132e-21
2,1484356280.7728896,1.1929448289881495e-20
3,1640467393.5731285,1.457064743956684e-20
4,1812996855.4283793,1.779661044451039e-20
5,2003671399.182044,2.1736803835084576e-20
6,2214399359.7559366,2.65493577210522e-20
7,2447289773.407595,3.242741173547423e-20
8,2704673485.674016,3.9606865891483646e-20
9,2989126479.257214,4.837584736568677e-20
10,3303495655.324923,5.908627306618096e-20
11,3650927326.2543592,7.21679719236088e-20
12,4034898704.984,8.814593353116129e-20
13,4459252706.129408,1.0766137517016159e-19
14,4928236407.164353,1.3149747241791e-19
15,5446543554.599658,1.6061078558080046e-19
16,6019361540.575907,1.9616964262136065e-19
17,6652423320.027521,2.3960101820118935e-19
18,7352064788.022662,2.9264778911174374e-19
19,8125288191.530649,3.5743866234690923e-19
20,8979832210.263142,4.365735800312335e-19
21,9924249407.981792,5.332280256767004e-19
22,10967991829.430939,6.512804136070618e-19
23,12121505599.578396,7.954676681499538e-19
24,13396335471.945158,9.715752283364286e-19
25,14805240372.378992,1.1866690925340576e-18
26,16362321094.672731,1.4493792008627177e-18
27,18083161426.048,1.770245508871371e-18
28,19984984114.935608,2.1621406163534276e-18
29,22086823242.030624,2.6407831697855578e-18
30,24409714719.769527,3.2253374643856186e-18
31,26976906826.812336,3.939271865054192e-18
32,29814092884.6294,4.811218619332438e-18
33,32949668404.898506,5.876142998856992e-18
34,36415015281.32986,7.176752317611497e-18
35,40244815870.20604,8.765201766052835e-18
36,44477400103.061005,1.0705191854817859e-17
37,49155129105.51784,1.307451306317189e-17
38,54324819161.67214,1.5968170467452518e-17
39,60038210267.198746,1.9502176081926244e-17
40,66352483960.61877,2.381821157575861e-17
41,73330835615.35678,2.9089283334123403e-17
42,81043106920.27824,3.552666949852852e-17
43,89566484878.78671,4.338834738208345e-17
44,98986274322.29741,5.298934487968848e-17
45,109396751669.66129,6.471429504413789e-17
46,120902108477.25323,7.903285384872468e-17
47,133617494223.08748,9.65183941650066e-17
48,147670168761.4972,1.1787095650101163e-16
49,163200775982.5296,1.4394506611313564e-16
50,180364751423.2703,1.7578387041504626e-16
51,199333877918.94168,2.1466049332272304e-16
52,220298004863.25577,2.621287569236857e-16
53,243466948284.95807,3.2008458280200246e-16
54,269072590757.1632,3.90841243061928e-16
55,297371202156.087,4.772203689092893e-16
